-1.3,2.738
-1.3,2.738
-1.3,1.41
-1.3,1.41
1.185,2.738
1.185,2.738
1.185,1.41
1.185,1.41
-0.394,3.499
0.279,3.499
0.402,4.155
-0.538,4.155
-0.358,2.842
-0.358,3.294
-0.29,3.361
0.174,3.361
0.241,3.294
0.241,2.841
-1.144,3.379
-0.68,3.428
-1.112,3.314
-0.706,3.368
1.029,3.379
0.565,3.428
0.997,3.314
0.591,3.368
-0.261,3.298
0.145,3.298
-1.481,3.258
-1.4,3.258
-1.4,3.258
-1.4,3.436
-1.4,3.436
-1.481,3.436
1.344,3.258
1.263,3.258
1.263,3.258
1.263,3.436
1.263,3.436
1.344,3.436
0.346,2.922
0.459,2.922
-0.461,2.922
-0.574,2.922
1.131,2.341
1.131,2.228
1.131,2.166
1.131,1.79
1.131,1.728
1.131,1.566
1.131,1.41
1.131,1.321
-0.695,0.405
0.695,0.405
-0.836,0.405
-0.952,0.405
-0.952,0.405
-0.952,0.598
-0.952,0.598
-0.836,0.598
-0.695,0.598
0.695,0.598
0.836,0.598
0.952,0.598
0.952,0.598
0.952,0.405
0.952,0.405
0.836,0.405
-1.268,2.341
-1.268,2.228
-1.268,2.166
-1.268,1.79
-1.268,1.728
-1.268,1.566
-1.268,1.41
-1.268,1.321
-1.354,1.321
1.239,1.321
-1.354,1.229
1.239,1.229
-1.354,1.108
1.239,1.108
-0.076,2.554
-0.29,2.554
-0.358,2.621
-0.358,2.8
0.241,2.799
0.241,2.621
0.174,2.554
-0.039,2.554
-0.673,2.554
-1.137,2.554
-0.702,2.616
-1.108,2.616
0.558,2.554
1.089,2.554
0.587,2.616
0.993,2.616
-0.076,2.616
-0.261,2.616
-0.295,2.65
-0.295,2.769
0.178,2.769
0.178,2.65
0.145,2.616
-0.039,2.616
0.346,1.79
0.487,1.79
0.729,1.79
1.185,1.79
0.346,1.728
0.487,1.728
0.729,1.728
1.185,1.728
0.346,2.228
0.487,2.228
0.729,2.228
1.185,2.228
0.346,2.166
0.487,2.166
0.729,2.166
1.185,2.166
-0.463,1.79
-0.603,1.79
-0.845,1.79
-1.3,1.79
-0.463,1.728
-0.603,1.728
-0.845,1.728
-1.3,1.728
-0.463,2.228
-0.603,2.228
-0.845,2.228
-1.3,2.228
-0.463,2.166
-0.603,2.166
-0.845,2.166
-1.3,2.166
-1.354,1.108
-1.354,1.41
1.239,1.108
1.239,1.41
-0.461,1.355
0.346,1.355
-0.461,2.438
-0.066,2.242
-0.049,2.242
0.346,2.438
-0.461,2.479
-0.058,2.28
-0.058,2.28
0.346,2.479
-0.461,2.057
-0.066,1.862
-0.049,1.862
0.346,2.057
-0.461,2.099
-0.058,1.899
-0.058,1.899
0.346,2.099
-0.076,1.908
-0.076,2.247
-0.076,2.289
-0.076,2.661
-0.039,1.908
-0.039,2.247
-0.039,2.289
-0.039,2.661
-1.436,1.566
-1.436,1.443
-1.403,1.41
-0.779,1.41
-0.745,1.443
-0.745,1.532
-0.779,1.566
-1.266,1.566
-1.3,1.599
-1.3,2.308
-1.266,2.341
-0.779,2.341
-0.745,2.375
-0.745,2.464
-0.779,2.497
-1.266,2.497
-1.3,2.531
-1.3,2.738
-1.333,2.771
-1.403,2.771
-1.436,2.738
-1.436,1.443
-1.403,1.41
-1.3,1.41
1.321,1.566
1.321,1.443
1.288,1.41
0.664,1.41
0.63,1.443
0.63,1.532
0.664,1.566
1.151,1.566
1.185,1.599
1.185,2.308
1.151,2.341
0.664,2.341
0.63,2.375
0.63,2.464
0.664,2.497
1.151,2.497
1.185,2.531
1.185,2.738
1.218,2.771
1.288,2.771
1.321,2.738
1.321,1.443
1.288,1.41
1.185,1.41
0.75,0.953
0.836,0.953
0.836,0.953
0.836,0.05
0.836,0.05
0.75,0.05
-0.75,0.953
-0.836,0.953
-0.16,1.01
0.156,1.01
0.156,1.01
0.156,0.765
0.156,0.765
-0.16,0.765
0.2,0.685
0.2,0.765
0.2,0.765
-0.204,0.765
